,,,,,,,09/07/2026,RELATÓRIO ATUALIZADO CEARÁ,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,09/07/2026,,,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,09/07/2026 17:02:13,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,MARCA,LOTE,Column 23
19,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,390,15619110ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
20,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,390,15619113ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
21,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,380,15619116ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
22,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,422,15619119ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
23,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,220,15619103ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
24,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,200,15619106ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
25,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,200,15619110ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
26,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,200,15619113ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
27,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,180,15619116ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
28,OK,DASS ITAPIPOCA,2,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,177,15619119ADL0000419,29/04/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1380683,,71,ADIDAS,132968,
63,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15636341,10,15619131ADL0000417,06/05/2026,10/07/2026,1,,22/06/26,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
64,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15636341,14,15619134ADL0000417,06/05/2026,10/07/2026,1,,22/06/2026,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
65,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15636341,361,15619131ADL0000417,06/05/2026,10/07/2026,1,,22/06/2026,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
66,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15636341,360,15619134ADL0000417,06/05/2026,10/07/2026,1,,22/06/2026,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
67,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15636341,360,15619137ADL0000417,06/05/2026,10/07/2026,1,,22/06/2026,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
68,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15636341,402,15619140ADL0000417,06/05/2026,10/07/2026,1,,22/06/2026,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
69,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15636341,189,15619131ADL0000417,06/05/2026,10/07/2026,1,,22/06/2026,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
70,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15636341,170,15619134ADL0000417,06/05/2026,10/07/2026,1,,22/06/26,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
71,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15636341,160,15619137ADL0000417,06/05/2026,10/07/2026,1,,22/06/26,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
72,OK,DASS ITAPIPOCA,2,138269,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15636341,179,15619140ADL0000417,06/05/2026,10/07/2026,1,,22/06/26,10/07/26,,#N/A,1380688,,64,ADIDAS,133220,
89,OK,DASS ITAPIPOCA,2,138876,1172720,73714,ATAC. M60109 ALPINA COR 2001,120CM,15741480,408,15734783NEWB003820,25/05/2026,10/07/2026,1,PRODUÇAO,29/06/26,10/07/26,,#N/A,1172720,,45,NEW BALANCE,134016,
170,OK,DASS ITAPIPOCA,2,139167,1370216,91368,FITA M31134 C/GOMA POLIESTER COR 100 / COR 765,12MM,15770613,1400,0,29/05/2026,10/07/2026,1,PRODUÇAO,12/06/26,10/07/26,,#N/A,1370216,,41,ADIDAS,134075,
176,OK,DASS ITAPIPOCA,2,139170,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15770629,92,15764904ITA0360281,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1215467,,41,ADIDAS,134072,
177,OK,DASS ITAPIPOCA,2,139170,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15770629,95,15764907ITA0360281,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1215467,,41,ADIDAS,134072,
178,OK,DASS ITAPIPOCA,2,139170,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15770629,278,15764904ITA0360281,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1215467,,41,ADIDAS,134072,
179,OK,DASS ITAPIPOCA,2,139170,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15770629,287,15764907ITA0360281,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1215467,,41,ADIDAS,134072,
180,OK,DASS ITAPIPOCA,2,139170,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15770629,8,15764904ITA0360281,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1215467,,41,ADIDAS,134072,
182,OK,DASS ITAPIPOCA,2,139170,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15770629,211,15764798ITA0360251,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134072,
183,OK,DASS ITAPIPOCA,2,139170,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15770629,255,15764801ITA0360251,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134072,
184,OK,DASS ITAPIPOCA,2,139170,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15770629,209,15764798ITA0360251,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134072,
185,OK,DASS ITAPIPOCA,2,139170,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15770629,211,15764801ITA0360251,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134072,
186,OK,DASS ITAPIPOCA,2,139170,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,135CM,15770629,8,15764798ITA0360251,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134072,
210,OK,DASS ITAPIPOCA,2,139175,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,125CM,15770878,326,15766031ITA0360245,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134067,
211,OK,DASS ITAPIPOCA,2,139175,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,130CM,15770878,309,15766031ITA0360245,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134067,
212,OK,DASS ITAPIPOCA,2,139175,1289069,87979,ATAC. M6034C 8MM ALPINA COR 2001,135CM,15770878,1,15766031ITA0360245,29/05/2026,10/07/2026,1,,15/06/26,10/07/26,,#N/A,1289069,,41,ADIDAS,134067,
215,OK,DASS ITAPIPOCA,2,139175,1380813,93083,ATAC. M6034C 8MM ALPINA COR 2443,125CM,15770878,190,15766388ITA0360272,29/05/2026,10/07/2026,1,PRODUÇAO,15/06/26,10/07/26,,#N/A,1380813,,41,ADIDAS,134067,
216,OK,DASS ITAPIPOCA,2,139175,1380813,93083,ATAC. M6034C 8MM ALPINA COR 2443,125CM,15770878,218,15766391ITA0360272,29/05/2026,10/07/2026,1,PRODUÇAO,15/06/26,10/07/26,,#N/A,1380813,,41,ADIDAS,134067,
217,OK,DASS ITAPIPOCA,2,139175,1380813,93083,ATAC. M6034C 8MM ALPINA COR 2443,125CM,15770878,190,15766379ITA0360312,29/05/2026,10/07/2026,1,PRODUÇAO,15/06/26,10/07/26,,#N/A,1380813,,41,ADIDAS,134067,
218,OK,DASS ITAPIPOCA,2,139175,1380813,93083,ATAC. M6034C 8MM ALPINA COR 2443,125CM,15770878,170,15766382ITA0360312,29/05/2026,10/07/2026,1,PRODUÇAO,15/06/26,10/07/26,,#N/A,1380813,,41,ADIDAS,134067,
219,OK,DASS ITAPIPOCA,2,139175,1380813,93083,ATAC. M6034C 8MM ALPINA COR 2443,125CM,15770878,206,15766385ITA0360312,29/05/2026,10/07/2026,1,PRODUÇAO,15/06/26,10/07/26,,#N/A,1380813,,41,ADIDAS,134067,
220,OK,DASS ITAPIPOCA,2,139175,1380813,93083,ATAC. M6034C 8MM ALPINA COR 2443,130CM,15770878,210,15766382ITA0360312,29/05/2026,10/07/2026,1,PRODUÇAO,15/06/26,10/07/26,,#N/A,1380813,,41,ADIDAS,134067,
221,OK,DASS ITAPIPOCA,2,139175,1380813,93083,ATAC. M6034C 8MM ALPINA COR 2443,130CM,15770878,247,15766385ITA0360312,29/05/2026,10/07/2026,1,PRODUÇAO,15/06/26,10/07/26,,#N/A,1380813,,41,ADIDAS,134067,
281,OK,DASS ITAPIPOCA,2,139183,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15771236,144,15767819ITA0360308,29/05/2026,10/07/2026,1,PRODUÇAO,22/06/26,10/07/26,,#N/A,1215468,,41,ADIDAS,134059,
282,OK,DASS ITAPIPOCA,2,139183,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,125CM,15771236,145,15767822ITA0360308,29/05/2026,10/07/2026,1,PRODUÇAO,22/06/26,10/07/26,,#N/A,1215468,,41,ADIDAS,134059,
283,OK,DASS ITAPIPOCA,2,139183,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15771236,381,15767819ITA0360308,29/05/2026,10/07/2026,1,PRODUÇAO,22/06/26,10/07/26,,#N/A,1215468,,41,ADIDAS,134059,
284,OK,DASS ITAPIPOCA,2,139183,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,135CM,15771236,415,15767822ITA0360308,29/05/2026,10/07/2026,1,PRODUÇAO,22/06/26,10/07/26,,#N/A,1215468,,41,ADIDAS,134059,
285,OK,DASS ITAPIPOCA,2,139183,1215468,79767,ATAC. M6034 8MM ALPINA COR 2208,140CM,15771236,18,15767819ITA0360308,29/05/2026,10/07/2026,1,PRODUÇAO,22/06/26,10/07/26,,#N/A,1215468,,41,ADIDAS,134059,
301,OK,DASS ITAPIPOCA,2,139243,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15774804,26,15774295ITA0360317,01/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1215467,,38,ADIDAS,134101,
302,OK,DASS ITAPIPOCA,2,139243,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15774804,130,15774295ITA0360317,01/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1215467,,38,ADIDAS,134101,
303,OK,DASS ITAPIPOCA,2,139243,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15774804,154,15774298ITA0360317,01/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1215467,,38,ADIDAS,134101,
304,OK,DASS ITAPIPOCA,2,139243,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15774804,310,15774298ITA0360317,01/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1215467,,38,ADIDAS,134101,
305,OK,DASS ITAPIPOCA,2,139243,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,145CM,15774804,104,15774295ITA0360317,01/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1215467,,38,ADIDAS,134101,
306,OK,DASS ITAPIPOCA,2,139243,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,145CM,15774804,118,15774298ITA0360317,01/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1215467,,38,ADIDAS,134101,
597,OK,DASS ITAPIPOCA,2,139583,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,130CM,15785822,75,15785326ITA0360324,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1412555,MONTAR,28,ADIDAS,134680,
598,OK,DASS ITAPIPOCA,2,139583,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,135CM,15785822,403,15785326ITA0360324,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1412555,MONTAR,28,ADIDAS,134680,
599,OK,DASS ITAPIPOCA,2,139583,1412555,94736,ATAC. M10147 6MM POLIMP COR 6118/P,140CM,15785822,182,15785326ITA0360324,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1412555,MONTAR,28,ADIDAS,134680,
603,OK,DASS ITAPIPOCA,2,139584,1287328,86681,FITA MFGP C/ GOMA POLIESTER COR 5233,10MM,15811032,130,0,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1287328,,28,NEW BALANCE,134681,
604,OK,DASS ITAPIPOCA,2,139584,1393530,92344,FITA MFGP C/ GOMA POLIESTER COR 4989,12MM,15811032,60,0,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1393530,,28,NEW BALANCE,134681,
605,OK,DASS ITAPIPOCA,2,139584,1393533,92345,FITA MFGP C/ GOMA POLIESTER COR 5197,12MM,15811032,60,0,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1393533,,28,NEW BALANCE,134681,
606,OK,DASS ITAPIPOCA,2,139584,1393510,94279,FITA MFGP C/ GOMA POLIESTER COR 6095,15MM,15811032,660,0,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1393510,,28,NEW BALANCE,134681,
607,OK,DASS ITAPIPOCA,2,139585,898941,70164,FITA MFGP C/ GOMA POLIESTER COR 100,12MM,15811033,100,0,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,898941,898941,,28,NEW BALANCE,134682,
608,OK,DASS ITAPIPOCA,2,139585,816595,71376,FITA MFGP C/ GOMA POLIESTER COR 102,10MM,15811033,250,0,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,816595,816595,URDIDEIRA,28,NEW BALANCE,134682,
609,OK,DASS ITAPIPOCA,2,139585,1231761,84034,FITA MFGP C/ GOMA POLIESTER COR 5334,10MM,15811033,50,0,11/06/2026,10/07/2026,1,,06/07/26,10/07/26,,#N/A,1231761,,28,NEW BALANCE,134682,
1010,OK,DASS ITAPIPOCA,2,139851,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15839607,20,809831,18/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1380683,,21,ADIDAS,134828,
1011,OK,DASS ITAPIPOCA,2,139851,1396864,92682,ATAC. M60126 6MM ALPINA COR 2395,130CM,15839607,25,809836,18/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1396864,,21,ADIDAS,134828,
1012,OK,DASS ITAPIPOCA,2,139851,1396864,92682,ATAC. M60126 6MM ALPINA COR 2395,135CM,15839607,10,809837,18/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,#N/A,1396864,,21,ADIDAS,134828,
1017,OK,DASS ITAPIPOCA,2,139958,1404640,70164,FITA MFGP C/ GOMA POLIESTER COR 100,16MM,15848966,70,810504,22/06/2026,10/07/2026,1,,06/07/26,10/07/26,,1404640,1404640,,17,ADIDAS,134833,
1018,OK,DASS ITAPIPOCA,2,139958,1288234,70164,FITA MFGP C/ GOMA POLIESTER COR 100,20MM,15848966,50,810502,22/06/2026,10/07/2026,1,PRODUÇAO,06/07/26,10/07/26,,1288234,1288234,,17,ADIDAS,134833,
1025,OK,DASS ITAPIPOCA,2,140177,1439677,94761,ATAC. 6AL 6MM POLIESTER COR 4699,115CM,15862436,12,812032,26/06/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,1439677,,13,NEW BALANCE,135209,
1026,OK,DASS ITAPIPOCA,2,140178,1382320,91489,FITA M31108 POLIESTER COR 471,10MM,15862438,80,812033,26/06/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,1382320,,13,NEW BALANCE,135217,
1027,OK,DASS ITAPIPOCA,2,140179,1410867,74749,FITA MFGP C/ GOMA POLIESTER COR 481,10MM,15863481,30,8118816,26/06/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,1410867,,13,ADIDAS,135218,
1918,OK,DASS ITAPIPOCA,2,140566,1417309,96023,ATAC. M6034 8MM ALPINA COR 2463,125CM,15773723,137,15765003ITA0360285,07/07/2026,10/07/2026,1,PRODUÇAO,07/07/26,10/07/26,,#N/A,1417309,,2,ADIDAS,135365,
1919,OK,DASS ITAPIPOCA,2,140566,1417309,96023,ATAC. M6034 8MM ALPINA COR 2463,125CM,15773723,122,15765006ITA0360285,07/07/2026,10/07/2026,1,PRODUÇAO,07/07/26,10/07/26,,#N/A,1417309,,2,ADIDAS,135365,
1920,OK,DASS ITAPIPOCA,2,140566,1417309,96023,ATAC. M6034 8MM ALPINA COR 2463,135CM,15773723,404,15765006ITA0360285,07/07/2026,10/07/2026,1,PRODUÇAO,07/07/26,10/07/26,,#N/A,1417309,,2,ADIDAS,135365,
1921,OK,DASS ITAPIPOCA,2,140566,1417309,96023,ATAC. M6034 8MM ALPINA COR 2463,140CM,15773723,10,15765003ITA0360285,07/07/2026,10/07/2026,1,PRODUÇAO,07/07/26,10/07/26,,#N/A,1417309,,2,ADIDAS,135365,
1922,OK,DASS ITAPIPOCA,2,140566,1417309,96023,ATAC. M6034 8MM ALPINA COR 2463,140CM,15773723,11,15765006ITA0360285,07/07/2026,10/07/2026,1,PRODUÇAO,07/07/26,10/07/26,,#N/A,1417309,,2,ADIDAS,135365,
2048,OK,DAKOTA IGUATU,91,140386,6314423,69451,ATAC. M1294 7MM POLIESTER COR 053,85CM,79670U,5,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,6314423,,7,DAKOTA (Todas),135295,
2049,OK,DAKOTA IGUATU,91,140386,9204344,69451,ATAC. M1294 7MM POLIESTER COR 053,95CM,79670U,7,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,9204344,,7,DAKOTA (Todas),135295,
2050,OK,DAKOTA IGUATU,91,140386,6315653,82062,ATAC. M1294 7MM POLIESTER COR 114,85CM,79670U,21,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,6315653,,7,DAKOTA (Todas),135295,
2051,OK,DAKOTA IGUATU,91,140386,9203927,82062,ATAC. M1294 7MM POLIESTER COR 114,95CM,79670U,24,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,9203927,,7,DAKOTA (Todas),135295,
2052,NÃO,DAKOTA IGUATU,91,140386,6318047,83813,ATAC. M1294 7MM POLIESTER COR 987,85CM,79670U,22,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,6318047,,7,DAKOTA (Todas),135295,
2053,NÃO,DAKOTA IGUATU,91,140386,9209885,83813,ATAC. M1294 7MM POLIESTER COR 987,95CM,79670U,23,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,9209885,,7,DAKOTA (Todas),135295,
2161,OK,DAKOTA MARANGUAPE,133,140389,6456275,84248,ATAC. M22063 7MM POLIESTER COR 214,100CM,79664U,10,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,6456275,,7,DAKOTA (Todas),135300,
2162,NÃO,DAKOTA MARANGUAPE,133,140389,6459114,94591,ATAC. M22063 7MM POLIESTER COR 468,100CM,79664U,7,,02/07/2026,10/07/2026,1,,10/07/26,#N/A,#N/A,#N/A,6459114,,7,DAKOTA (Todas),135300,
134,OK,DASS ITAPIPOCA,2,138882,1417466,93827,FITA M31140 POLIESTER COR 102 / COR 100,10MM,15741622,1460,0,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1417466,,45,NEW BALANCE,134010,
135,OK,DASS ITAPIPOCA,2,138882,1417464,93831,FITA M31140 POLIESTER COR 966 / COR 4899,10MM,15741622,320,0,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1417464,,45,NEW BALANCE,134010,
136,OK,DASS ITAPIPOCA,2,138882,1417897,93832,FITA M31140 POLIESTER COR 4282 / COR 4277,10MM,15741622,300,0,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1417897,,45,NEW BALANCE,134010,
137,OK,DASS ITAPIPOCA,2,138882,1417971,95083,FITA MFGP C/ GOMA POLIESTER COR 6184,10MM,15741622,440,0,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1417971,,45,NEW BALANCE,134010,
138,OK,DASS ITAPIPOCA,2,138883,1417970,84723,ATAC. 6AL 6MM POLIESTER COR 938,115CM,15741818,588,15735119NEWB003885,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1417970,,45,NEW BALANCE,134009,
139,OK,DASS ITAPIPOCA,2,138883,1417970,84723,ATAC. 6AL 6MM POLIESTER COR 938,125CM,15741818,24,15735119NEWB003885,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1417970,,45,NEW BALANCE,134009,
140,OK,DASS ITAPIPOCA,2,138883,1417917,93516,ATAC. 6AL 6MM POLIESTER COR 4899,115CM,15741818,444,15735122NEWB003886,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417917,,45,NEW BALANCE,134009,
141,OK,DASS ITAPIPOCA,2,138883,1417917,93516,ATAC. 6AL 6MM POLIESTER COR 4899,115CM,15741818,456,15735125NEWB003886,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417917,,45,NEW BALANCE,134009,
142,OK,DASS ITAPIPOCA,2,138883,1417917,93516,ATAC. 6AL 6MM POLIESTER COR 4899,125CM,15741818,84,15735122NEWB003886,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417917,,45,NEW BALANCE,134009,
143,OK,DASS ITAPIPOCA,2,138883,1417917,93516,ATAC. 6AL 6MM POLIESTER COR 4899,125CM,15741818,132,15735125NEWB003886,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417917,,45,NEW BALANCE,134009,
144,OK,DASS ITAPIPOCA,2,138883,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15741818,384,15734872NEWB003833,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417918,,45,NEW BALANCE,134009,
145,OK,DASS ITAPIPOCA,2,138883,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,115CM,15741818,396,15734875NEWB003833,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417918,,45,NEW BALANCE,134009,
146,OK,DASS ITAPIPOCA,2,138883,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15741818,96,15734872NEWB003833,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417918,,45,NEW BALANCE,134009,
147,OK,DASS ITAPIPOCA,2,138883,1417918,93565,ATAC. 6AL 6MM POLIESTER COR 5233,125CM,15741818,156,15734875NEWB003833,25/05/2026,13/07/2026,4,PRODUÇAO,13/07/26,#N/A,#N/A,#N/A,1417918,,45,NEW BALANCE,134009,
148,OK,DASS ITAPIPOCA,2,138883,1427672,94025,ATAC. 6AL 6MM POLIESTER COR 293,115CM,15741818,456,15735016NEWB003878,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1427672,,45,NEW BALANCE,134009,
149,OK,DASS ITAPIPOCA,2,138883,1427672,94025,ATAC. 6AL 6MM POLIESTER COR 293,125CM,15741818,108,15735010NEWB003878,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1427672,,45,NEW BALANCE,134009,
150,OK,DASS ITAPIPOCA,2,138883,1427672,94025,ATAC. 6AL 6MM POLIESTER COR 293,125CM,15741818,36,15735013NEWB003878,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1427672,,45,NEW BALANCE,134009,
151,OK,DASS ITAPIPOCA,2,138883,1427672,94025,ATAC. 6AL 6MM POLIESTER COR 293,125CM,15741818,24,15735016NEWB003878,25/05/2026,13/07/2026,4,,13/07/26,#N/A,#N/A,#N/A,1427672,,45,NEW BALANCE,134009,
164,OK,DASS ITAPIPOCA,2,139159,1287497,87980,ATAC. M6034C 8MM ALPINA COR 2366,130CM,15770759,341,15766037ITA0360257,29/05/2026,13/07/2026,4,PRODUÇAO,08/06/26,13/07/26,,#N/A,1287497,,41,ADIDAS,134083,
