,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
185,OK,DASS ITAPIPOCA,2,134803,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15260308,311,15258602ADL000345-,03/02/2026,10/04/2026,0,PRODUÇAO,06/04/2026,10/04/26,,#N/A,1380683,,66,
186,OK,DASS ITAPIPOCA,2,134803,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15260308,270,15258605ADL000345-,03/02/2026,10/04/2026,0,PRODUÇAO,06/04/2026,10/04/2026,,#N/A,1380683,,66,
187,OK,DASS ITAPIPOCA,2,134803,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15260308,307,15258608ADL000345-,03/02/2026,10/04/2026,0,PRODUÇAO,06/04/2026,10/04/2026,,#N/A,1380683,,66,
188,OK,DASS ITAPIPOCA,2,134803,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15260308,120,15258602ADL000345-,03/02/2026,10/04/2026,0,PRODUÇAO,06/04/2026,10/04/2026,,#N/A,1380683,,66,
189,OK,DASS ITAPIPOCA,2,134803,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15260308,107,15258605ADL000345-,03/02/2026,10/04/2026,0,PRODUÇAO,06/04/2026,10/04/2026,,#N/A,1380683,,66,
190,OK,DASS ITAPIPOCA,2,134803,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15260308,118,15258608ADL000345-,03/02/2026,10/04/2026,0,PRODUÇAO,06/04/2026,10/04/2026,,#N/A,1380683,,66,
191,OK,DASS ITAPIPOCA,2,134803,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,115CM,15260308,13,15258596ADL000355-,03/02/2026,10/04/2026,0,,06/04/2026,10/04/2026,,#N/A,1380686,,66,
192,OK,DASS ITAPIPOCA,2,134803,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,120CM,15260308,241,15258596ADL000355-,03/02/2026,10/04/2026,0,,06/04/2026,10/04/2026,,#N/A,1380686,,66,
193,OK,DASS ITAPIPOCA,2,134803,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,120CM,15260308,276,15258599ADL000355-,03/02/2026,10/04/2026,0,,06/04/2026,10/04/2026,,#N/A,1380686,,66,
194,OK,DASS ITAPIPOCA,2,134803,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,125CM,15260308,120,15258596ADL000355-,03/02/2026,10/04/2026,0,,06/04/26,10/04/2026,,#N/A,1380686,,66,
195,OK,DASS ITAPIPOCA,2,134803,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,125CM,15260308,111,15258599ADL000355-,03/02/2026,10/04/2026,0,,06/04/26,10/04/2026,,#N/A,1380686,,66,
214,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15303363,11,15302143ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
215,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15303363,160,15302143ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
216,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15303363,150,15302146ADL000363-,11/02/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,58,
217,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15303363,170,15302149ADL000363-,11/02/2026,10/04/2026,0,,16/03/2026,10/04/2026,,#N/A,1380683,MONTAR,58,
218,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15303363,300,15302143ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
219,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15303363,280,15302146ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
220,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15303363,304,15302149ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
221,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15303363,60,15302143ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
222,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15303363,60,15302146ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
223,OK,DASS ITAPIPOCA,2,135092,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15303363,75,15302149ADL000363-,11/02/2026,10/04/2026,0,,16/03/26,10/04/2026,,#N/A,1380683,MONTAR,58,
322,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,125CM,15330132,18,15324397ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
323,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330132,190,15324397ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
324,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330132,190,15324399ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
325,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330132,190,15324401ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
326,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330132,190,15324403ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
327,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330132,180,15324405ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
328,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330132,250,15324407ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
329,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330132,291,15324397ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/2026,,#N/A,1420003,ESPULADEIRA,45,
330,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330132,290,15324399ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
331,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330132,290,15324401ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
332,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330132,290,15324403ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
333,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330132,280,15324405ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
334,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330132,324,15324407ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
335,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330132,87,15324397ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
336,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330132,60,15324399ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
337,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330132,60,15324401ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
338,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330132,65,15324403ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
339,OK,DASS ITAPIPOCA,2,135560,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330132,50,15324405ADL000377-,24/02/2026,10/04/2026,0,,23/03/2026,10/04/26,,#N/A,1420003,ESPULADEIRA,45,
354,OK,DASS ITAPIPOCA,2,135564,1402273,94284,FITA M31128 C/ GOMA POLIESTER COR 602/B / COR 481 / COR 100,16MM,15330137,590,0,24/02/2026,10/04/2026,0,,30/03/26,10/04/26,,#N/A,1402273,REPASSANDO FIO,45,
356,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,125CM,15330139,17,15324495ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
357,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,125CM,15330139,11,15324498ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
358,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,130CM,15330139,160,15324495ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
359,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,130CM,15330139,150,15324498ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
360,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,130CM,15330139,174,15324501ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
361,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,130CM,15330139,210,15324519ADL000371-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
362,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,130CM,15330139,286,15324522ADL000371-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
363,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,135CM,15330139,311,15324495ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
364,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,135CM,15330139,290,15324498ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
365,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,135CM,15330139,329,15324501ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
366,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,135CM,15330139,290,15324519ADL000371-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
367,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,135CM,15330139,296,15324522ADL000371-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
368,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,140CM,15330139,47,15324495ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
369,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,140CM,15330139,40,15324498ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
370,OK,DASS ITAPIPOCA,2,135566,1420006,94271,ATAC. M60126 6MM ALPINA COR 2469,140CM,15330139,34,15324501ADL000370-,24/02/2026,10/04/2026,0,PRODUÇAO,06/04/26,10/04/26,,#N/A,1420006,,45,
371,OK,DASS ITAPIPOCA,2,135567,1402273,94284,FITA M31128 C/ GOMA POLIESTER COR 602/B / COR 481 / COR 100,16MM,15330140,590,0,24/02/2026,10/04/2026,0,,06/04/26,10/04/26,,#N/A,1402273,REPASSANDO FIO,45,
372,OK,DASS ITAPIPOCA,2,135568,1400867,92773,FITA MFGP POLIESTER COR 4126,15MM,15337260,430,0,24/02/2026,10/04/2026,0,,06/04/26,10/04/26,,#N/A,1400867,,45,
396,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368361,120,15363397ITA11209-A,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
397,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368361,110,15363400ITA11209-B,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
398,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368361,100,15363403ITA11209-C,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
399,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368361,116,15363406ITA11209-D,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
400,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368361,86,15363443ITA11211-A,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
401,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368361,87,15363447ITA11211-B,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
402,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368361,361,15363397ITA11209-A,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
403,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368361,360,15363400ITA11209-B,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
404,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368361,350,15363403ITA11209-C,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
405,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368361,404,15363406ITA11209-D,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/26,10/04/26,,#N/A,1215467,,39,
406,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368361,261,15363443ITA11211-A,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
407,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368361,292,15363447ITA11211-B,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
408,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368361,92,15363397ITA11209-A,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
409,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368361,90,15363400ITA11209-B,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
410,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368361,80,15363403ITA11209-C,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
411,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368361,90,15363406ITA11209-D,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
412,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368361,30,15363443ITA11211-A,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
413,OK,DASS ITAPIPOCA,2,135782,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368361,79,15363447ITA11211-B,02/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,23/03/2026,10/04/26,,#N/A,1215467,,39,
414,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15368365,300,15362291ITA11143-A,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
415,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15368365,290,15362294ITA11143-B,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
416,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15368365,325,15362297ITA11143-C,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
417,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15368365,289,15362405ITA11248-A,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
418,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15368365,240,15362408ITA11248-B,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
419,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,125CM,15368365,208,15362414ITA11248-C,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
420,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15368365,271,15362291ITA11143-A,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
421,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15368365,244,15362294ITA11143-B,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
422,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15368365,280,15362297ITA11143-C,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
423,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15368365,220,15362405ITA11248-A,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
424,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15368365,190,15362408ITA11248-B,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
425,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,130CM,15368365,220,15362414ITA11248-C,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
426,OK,DASS ITAPIPOCA,2,135784,1294335,87978,ATAC. M6034C 8MM ALPINA COR 2359,135CM,15368365,15,15362291ITA11143-A,02/03/2026,10/04/2026,0,PRODUÇAO,23/03/2026,10/04/26,,#N/A,1294335,,39,
457,OK,DASS ITAPIPOCA,2,135788,1400576,92777,FITA MFGP C/ GOMA POLIESTER COR 5997,10MM,15368500,1590,0,02/03/2026,10/04/2026,0,,06/04/2026,10/04/26,,#N/A,1400576,URDIDEIRA,39,
458,OK,DASS ITAPIPOCA,2,135789,1298060,86459,ATAC. M12109 6MM POLIESTER COR 5028,95CM,15368511,360,15365224ITA11218-A,02/03/2026,10/04/2026,0,,06/04/2026,10/04/26,,#N/A,1298060,MONTAR,39,
459,OK,DASS ITAPIPOCA,2,135789,1298060,86459,ATAC. M12109 6MM POLIESTER COR 5028,95CM,15368511,354,15365227ITA11218-B,02/03/2026,10/04/2026,0,,06/04/2026,10/04/26,,#N/A,1298060,MONTAR,39,
460,OK,DASS ITAPIPOCA,2,135789,1298060,86459,ATAC. M12109 6MM POLIESTER COR 5028,100CM,15368511,120,15365224ITA11218-A,02/03/2026,10/04/2026,0,,06/04/2026,10/04/26,,#N/A,1298060,MONTAR,39,
461,OK,DASS ITAPIPOCA,2,135789,1298060,86459,ATAC. M12109 6MM POLIESTER COR 5028,100CM,15368511,151,15365227ITA11218-B,02/03/2026,10/04/2026,0,,06/04/2026,10/04/26,,#N/A,1298060,MONTAR,39,
659,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,125CM,15371837,80,15362361ITA11193-A,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
660,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,125CM,15371837,123,15362364ITA11193-B,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
661,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,125CM,15371837,120,15362373ITA11229-A,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
662,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,125CM,15371837,120,15362376ITA11229-B,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/26,10/04/26,,#N/A,1412824,,37,
663,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,125CM,15371837,130,15362379ITA11229-C,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/26,10/04/26,,#N/A,1412824,,37,
664,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,130CM,15371837,191,15362361ITA11193-A,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
665,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,130CM,15371837,239,15362364ITA11193-B,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
666,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,130CM,15371837,211,15362373ITA11229-A,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
667,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,130CM,15371837,180,15362376ITA11229-B,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
668,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,130CM,15371837,234,15362379ITA11229-C,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
669,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,135CM,15371837,88,15362361ITA11193-A,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
670,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,135CM,15371837,84,15362364ITA11193-B,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
671,OK,DASS ITAPIPOCA,2,135923,1412824,94466,ATAC. M6034C 8MM ALPINA COR 2490,135CM,15371837,78,15362373ITA11229-A,04/03/2026,10/04/2026,0,EMBARQUE EM ATRASO,17/03/2026,10/04/26,,#N/A,1412824,,37,
